"PCBWay Bom Quotation, Product No.:T-2D2W400564A",,,,,,,,,,,,
Item #,*Designator,*Qty,Manufacturer,*Mfg Part #,Description / Value,Vendor Part #,*Package/Footprint,*Unit Price(5 sets),*Total,*Delivery Time,*Actual Purchase Mfg Part #,Customer Reply
39,R22,1,UniOhm,0603WAF2700T5E,270Ω,C22966『 』LCSC,R0603,$0.033,$0.165,,,
40,R23,1,UniOhm,0603WAF1500T5E,150Ω,C22808『 』LCSC,R0603,$0.041,$0.205,,,
41,SD,1,Yuandi(台湾元迪),TF-01A,TF-01A_C2889258,C2889258『 』LCSC,TF-SMD_TF-02,$0.235,$1.175,,,
42,U3,1,Espressif Systems,ESP32-PICO-D4,ESP32-PICO-D4,C193707『 』LCSC,QFN-48_L7.0-W7.0-P0.50-BL-EP5.4,$6.116,$30.580,,,
43,U4,1,SILICON LABS,CP2104-F03-GMR,CP2104-F03-GMR,C47015『 』LCSC,QFN-24_L4.0-W4.0-P0.50-BL-EP2.6,$6.675,$33.375,,,
44,U6,1,Diodes Incorporated,APX803S-29SA-7,APX803S-29SA-7,C143831『 』LCSC,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,$0.412,$2.060,,,
45,"U7,U8",2,TI,SN74LVC1G125DBVR,SN74LVC1G125DBVR,C23654『 』LCSC,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,$0.392,$3.920,,,
46,U9,1,TI,SN74LVC1G04DBVR,SN74LVC1G04DBVR,C7827『 』LCSC,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,$0.299,$1.495,,,
,,,,,,,,All Total,$121.765,,,
,,,,,,,,,,,,
,,,,,,,,PCB Cost,$137.300,,,
,,,,,,,,Component Cost,$121.765,,,
,,,,,,,,Assembly Cost,$88.000,,,
,,,,,,,,,$347.065,,,
,,,,,,,,,,,,
